Frame,Object_ID,Class_ID,Class_Name,Confidence_Score,X_Center,Y_Center
168,28,2,car,0.75,920.57764,123.80021
168,52,2,car,0.74,1066.9292,122.998535
168,68,0,person,0.42,1833.5137,100.994
168,69,2,car,0.5,953.53937,31.980713
168,81,2,car,0.33,1137.866,19.37922
169,29,2,car,0.52,178.47278,29.561323
169,28,2,car,0.62,917.1247,127.026215
169,52,2,car,0.81,1067.3403,125.924934
169,68,0,person,0.46,1834.196,100.35922
169,69,2,car,0.52,953.47534,32.550117
169,81,2,car,0.29,1138.1042,19.94294
169,53,2,car,0.29,1187.887,80.26227
170,29,2,car,0.58,177.41026,29.55433
170,28,2,car,0.58,915.4548,128.94164
170,52,2,car,0.79,1068.5762,128.41843
170,68,0,person,0.48,1834.2461,99.82642
170,69,2,car,0.57,952.93835,33.180676
170,83,0,person,0.35,1840.8611,102.84857
170,53,2,car,0.29,1189.1589,82.80997
171,29,2,car,0.58,178.06264,29.369385
171,28,2,car,0.61,913.5008,134.16438
171,52,2,car,0.78,1069.5221,131.63348
171,68,0,person,0.4,1834.3953,100.186646
171,69,2,car,0.43,953.04663,34.159542
171,53,2,car,0.34,1191.3054,84.75848
171,81,2,car,0.29,1141.1271,21.755398
172,29,2,car,0.57,178.1044,29.554031
172,28,2,car,0.61,913.4396,137.47388
172,52,2,car,0.77,1070.4509,134.32083
172,68,0,person,0.49,1833.7509,100.087585
172,69,2,car,0.49,952.44446,35.243908
172,53,2,car,0.37,1192.1814,86.5531
172,81,2,car,0.33,1141.5996,23.107655
172,83,0,person,0.34,1839.5486,102.1454
173,29,2,car,0.61,178.65381,29.275627
173,28,2,car,0.67,913.6959,139.65826
173,52,2,car,0.78,1071.0658,137.83986
173,68,0,person,0.4,1834.0662,99.80136
173,69,2,car,0.37,952.7964,35.713894
173,53,2,car,0.35,1193.742,88.57913
174,29,2,car,0.65,179.67361,29.105108
174,28,2,car,0.7,910.5549,143.55035
174,52,2,car,0.74,1072.0645,141.7345
174,68,0,person,0.37,1833.3867,100.922806
174,69,2,car,0.33,952.14496,37.062717
174,53,2,car,0.47,1196.7512,91.93076
174,81,2,car,0.32,1144.009,25.278488
175,29,2,car,0.6,179.31543,29.378454
175,28,2,car,0.71,908.6931,147.95508
175,52,2,car,0.76,1072.0273,145.7062
175,68,0,person,0.53,1833.5745,100.12106
175,69,2,car,0.27,951.87933,37.483345
175,86,2,car,0.43,1050.4329,63.221344
175,50,0,person,0.27,1859.2728,101.364174
175,83,0,person,0.4,1840.6257,101.37044
176,29,2,car,0.64,179.10999,28.999804
176,28,2,car,0.68,906.7178,152.12009
176,52,2,car,0.75,1071.9453,149.76576
176,68,0,person,0.52,1833.5573,100.34398
176,83,0,person,0.38,1840.5312,101.21723
176,53,2,car,0.32,1199.5771,97.7068
177,29,2,car,0.53,179.48987,29.006275
177,28,2,car,0.67,907.9651,156.38268
177,52,2,car,0.8,1073.1292,152.99179
177,68,0,person,0.42,1833.2766,101.48636
177,83,0,person,0.25,1841.1406,103.746895
177,53,2,car,0.31,1202.8977,99.71548
177,81,2,car,0.27,1147.1978,26.29303
177,69,2,car,0.34,951.73193,45.936012
177,86,2,car,0.29,1049.9297,66.11525
178,29,2,car,0.58,179.30496,29.174183
178,28,2,car,0.66,907.6118,159.32103
178,52,2,car,0.86,1073.4111,156.31647
178,68,0,person,0.54,1833.4808,101.34916
178,83,0,person,0.38,1840.8774,102.519516
178,53,2,car,0.28,1205.8113,101.31498
178,81,2,car,0.3,1148.4509,27.337214
178,69,2,car,0.42,950.1271,48.829956
178,86,2,car,0.32,1051.1628,67.79893
179,29,2,car,0.65,178.74744,28.984568
179,28,2,car,0.64,907.8052,161.49258
179,52,2,car,0.82,1074.6338,160.82352
179,68,0,person,0.57,1833.4019,100.920944
179,83,0,person,0.44,1840.4182,102.13709
179,53,2,car,0.42,1209.4148,103.91972
179,81,2,car,0.32,1149.4131,27.760101
179,69,2,car,0.4,949.1,47.341217
179,86,2,car,0.29,1050.9935,69.64842
180,29,2,car,0.56,179.25728,29.316751
180,28,2,car,0.58,906.1789,167.24826
180,52,2,car,0.81,1076.3926,164.2521
180,68,0,person,0.49,1833.0688,99.72485
180,83,0,person,0.41,1840.4412,100.065216
180,53,2,car,0.31,1212.0535,107.97366
180,81,2,car,0.36,1150.0703,28.21179
180,69,2,car,0.52,948.14026,49.00791
180,86,2,car,0.34,1050.7013,71.45916
180,50,0,person,0.27,1857.1602,99.89371
181,29,2,car,0.55,179.07349,30.820324
181,28,2,car,0.76,903.364,172.76219
181,52,2,car,0.83,1077.4015,168.55872
181,68,0,person,0.55,1832.9293,100.37677
181,83,0,person,0.43,1840.9238,100.71586
181,53,2,car,0.46,1215.0826,111.57594
181,81,2,car,0.45,1151.2332,28.67749
181,69,2,car,0.51,947.7417,51.098335
181,86,2,car,0.41,1051.804,72.82926
181,50,0,person,0.29,1857.8215,100.5976
182,29,2,car,0.54,180.72897,30.418482
182,28,2,car,0.58,901.16626,178.51779
182,52,2,car,0.83,1078.2737,171.81436
182,68,0,person,0.5,1833.2611,101.69928
182,83,0,person,0.39,1841.5571,102.37495
182,53,2,car,0.49,1216.6873,114.86421
182,81,2,car,0.46,1152.7716,28.913624
182,69,2,car,0.55,948.48956,52.15938
182,86,2,car,0.32,1052.9846,73.31357
183,29,2,car,0.56,181.13963,31.489264
183,28,2,car,0.77,898.49585,183.50443
183,52,2,car,0.85,1078.1377,176.40808
183,68,0,person,0.54,1832.8539,101.11464
